File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,10:56:11,10,200330,25SQCMICSBB256500B0A5,DOC,2,10:56:11
9/26/22,11:11:16,10,200330,25SQCMICSBB256500B0A5,DOC,1,11:11:16
9/26/22,11:11:16,10,200330,25SQCMICSBB256500B0A5,DOC,2,11:11:16
9/26/22,11:20:33,10,200330,25SQCMICSBB256500B0A5,DOC,2,11:20:33
9/26/22,11:20:34,10,200330,25SQCMICSBB256500B0A5,DOC,1,11:20:34
9/26/22,11:32:07,10,200330,25SQCMICSBB256500B0A5,DOC,1,11:32:07
9/26/22,11:32:08,10,200330,25SQCMICSBB256500B0A5,DOC,2,11:32:08
9/26/22,15:08:33,10,200330,25SQCMICSBB256500B0A5,DOC,2,15:08:33
9/26/22,15:17:49,10,200330,25SQCMICSBB256500B0A5,DOC,1,15:17:49
9/26/22,15:19:09,10,200330,25SQCMICSBB256500B0A5,DOC,1,15:19:09
9/26/22,15:19:09,10,200330,25SQCMICSBB256500B0A5,DOC,2,15:19:09
9/26/22,15:19:09,10,200330,25SQCMICSBB256500B0A5,DOC,1,15:19:09
9/26/22,15:19:09,10,200330,25SQCMICSBB256500B0A5,DOC,2,15:19:09
9/26/22,14:38:21,10,200330,25SQCMICSBB26B800B147,DOC,2,14:38:21
9/26/22,14:38:25,10,200330,25SQCMICSBB26B800B147,DOC,1,14:38:25
9/26/22,14:38:25,10,200330,25SQCMICSBB26B800B147,DOC,2,14:38:25
9/26/22,14:38:25,10,200330,25SQCMICSBB26B800B147,DOC,1,14:38:25
9/26/22,14:38:25,10,200330,25SQCMICSBB26B800B147,DOC,2,14:38:25
9/26/22,14:38:26,10,200330,25SQCMICSBB26B800B147,DOC,1,14:38:26
9/26/22,14:38:26,10,200330,25SQCMICSBB26B800B147,DOC,2,14:38:26
9/26/22,14:38:26,10,200330,25SQCMICSBB26B800B147,DOC,1,14:38:26
9/26/22,14:38:26,10,200330,25SQCMICSBB26B800B147,DOC,2,14:38:26
